spirit_name,spirit_price,spirit_stock,spirit_category,Img,Date
Shichiken Biroadnoaji Junmai Ginjo 七賢天鷲絨の味 純米吟醸 720ml,188.0,2,sake,https://cellarmasterwines.com/cdn/shop/products/shichiken_biroadoaji_junmai_ginjo__720ml_800x_977bc027-2a2d-4642-9be1-86a0dcbbf7c9_533x.webp?v=1662626246,2024-08-18
Shichiken Kinunoaji Junmai Daiginjo 七賢絹の味 純米大吟醸 720ml,198.0,2,sake,https://cellarmasterwines.com/cdn/shop/products/ShichikenKinunoaji_533x.jpg?v=1662625928,2024-08-18
Shichiken Yama-no-kasumi Cloudy Sparkling Sake 七賢山ノ霞スパークリング 720ml,239.0,3,sake,https://cellarmasterwines.com/cdn/shop/products/shichiken_yama-no-kasumi_sparkling_nigori___720ml_1800x1800_64a95c4d-f987-4bba-b17f-5b387065a084_533x.webp?v=1662627329,2024-08-18
Takizawa Junmai Ginjo 瀧澤純米吟醸 720ml,188.0,1,sake,https://cellarmasterwines.com/cdn/shop/products/S156TAK042-Takizawa_Junmai_Ginjo__720ml__3_400x_a461f56c-1bf8-4852-939b-e731c75fb447_533x.png?v=1662625277,2024-08-18
Takizawa Tokujo - 720ml,118.0,4,sake,https://cellarmasterwines.com/cdn/shop/products/S156TAK012-Takizawa_Tokujo__720ml__3_1800x1800_a8c31404-06f6-453c-8a88-50c663424f47_533x.webp?v=1676277198,2024-08-18
Jose Cuervo Especial Reposado (Gold)Tequila 750ml,125.0,5,tequila,https://cellarmasterwines.com/cdn/shop/products/Jose-Cuervo-Especial-Reposado-_Gold_-750ml_1200x1200_ce2358e8-b0a5-44a0-a7b6-11bf7c1ca9f8_533x.jpg?v=1627885636,2024-08-18
Tequila Rose Strawberry Cream Liqueur 700ml,135.0,85,tequila,https://cellarmasterwines.com/cdn/shop/products/TequilaRose_533x.webp?v=1661965947,2024-08-18
Jose Cuervo Especial Reposado (Gold)Tequila 1L,139.0,60,tequila,https://cellarmasterwines.com/cdn/shop/files/Jose-Cuervo-Especial-Reposado-_Gold_-750ml_1200x1200_0669f486-8aa9-430d-8bae-57a567363df2_533x.jpg?v=1714380240,2024-08-18
Jose Cuervo Especial Plata (Sliver) Tequila 1 Litre,149.0,12,tequila,https://cellarmasterwines.com/cdn/shop/products/jose-cuervo-silver-1l_533x.jpg?v=1673379086,2024-08-18
Jose Cuervo Tradicional Reposado Tequila 700ml,228.0,4,tequila,https://cellarmasterwines.com/cdn/shop/products/Jose-Cuervo-Tradicional-Reposado-700ml_540x_371e48e2-beac-46e5-a033-57687743c863_533x.jpg?v=1627886963,2024-08-18
